"","Name","ID","NROW"
"1",NA,1,0
"2","Lantana camara",2,60727
"3","Fuchsia regia",3,715
"4","Psychotria leiocarpa",4,1476
"5","Inga sessilis",5,529
"6","Aechmea distichantha",6,1033
"7","Aechmea gamosepala",7,237
"8","Aechmea nudicaulis",8,1093
"9","Aechmea vanhoutteana",9,26
"10","Alstroemeria inodora",10,42
"11","Aphelandra colorata",11,15
"12","Aphelandra longiflora",12,496
"13","Besleria longimucronata",13,41
"14","Billbergia amoena",14,248
"15","Callianthe rufinerva",15,193
"16","Canna paniculata",16,266
"17","Canistrum perplexum",17,0
"18","Centropogon cornutus",18,1718
"19","Edmundoa lindenii",19,138
"20","Erythrina speciosa",20,477
"21","Macrocarpaea rubra",21,127
"22","Manettia cordifolia",22,1385
"23","Mendoncia velloziana",23,431
"24","Mutisia speciosa",24,189
"25","Nematanthus fluminensis",25,12
"26","Nematanthus fritschii",26,67
"27","Nematanthus gregarius",27,48
"28","Nematanthus sericeus",28,18
"29","Nidularium innocentii",29,442
"30","Nidularium longiflorum",30,91
"31","Nidularium procerum",31,200
"32","Nidularium rutilans",32,19
"33","Psittacanthus dichroos",33,610
"34","Pyrostegia venusta",34,3279
"35","Sinningia cooperi",35,79
"36","Sinningia elatior",36,664
"37","Sinningia glazioviana",37,5
"38","Siphocampylus convolvulaceus",38,148
"39","Siphocampylus lauroanus",39,16
"40","Siphocampylus longipedunculatus",40,120
"41","Spirotheca rivieri",41,68
"42","Tillandsia dura",42,41
"43","Tillandsia geminiflora",43,867
"44","Tillandsia stricta",44,1499
"45","Vriesea carinata",45,648
"46","Vriesea erythrodactylon",46,116
"47","Vriesea incurvata",47,494
"48","Vriesea inflata",48,69
"49","Vriesea simplex",49,168
"50","Wittrockia superba",50,47
"51","Rubus rosaefolius",51,5
"52","Geissomeria schottiana",52,0
"53","Justicia scheidweileri",53,69
"54","Ruellia brevifolia",54,1144
"55","Ruellia subsessilis",55,21
"56","Fridericia speciosa",56,428
"57","Heliconia simulans",57,0
"58","Hyptis asperrima",58,0
"59","Corymborkis flava",59,191
"60","Passiflora kermesina",60,241
"61","Passiflora speciosa",61,243
"62","Caesalpinia pulcherrima",62,6619
"63","Pithecellobium mangens",63,0
"64","Groton suberosus",64,0
"65","Vitex mollis",65,1054
"66","Combretum farinosum",66,1251
"67","Cordia seleriana",67,237
"68","Hamelia versicolor",68,18
"69","Ceiba aesculifolia",69,1840
"70","Justicia mexicana",70,0
"71","Opuntia excelsa",71,138
"72","Tillandsia paucifolia",72,474
"73","Tillandsia dasyrifolia",73,0
"74","Tillandsia bartramii",74,982
"75","Psittacanthus calyculatus",75,1227
"76","Nopalea karwinskiana",76,3
"77","Erythrina lanata",77,332
"78","Tabebuia donnell-smithii",78,0
"79","Ipomoea quamoclit",79,5140
"80","Ipomoea bracteata",80,1380
"81","Ipomoea wolcottiana",81,259
"82","Justicia sebastianopolitanae",82,20
"83","Odontonema barlerioides",83,11
"84","Staurogyne itatiaiae",84,21
"85","Bomarea edulis",85,2004
