"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",35.55646,-83.4947
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.477667,-71.818833
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.528044,-72.816404
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.71655,-72.03116
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.318083,-88.390484
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",46.13707,-89.891541
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.297947,-72.294773
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",42.357996,-73.190175
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.320113,-88.739914
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",42.35559,-73.196111
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.528629,-71.816923
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.309816,-72.869698
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.527167,-72.816167
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.303825,-72.881199
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.583353,-71.89436
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.587766,-72.919521
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",49.683457,-94.227698
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.325198,-74.130606
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.673793,-72.805208
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.581386,-72.913342
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.286997,-72.2614
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.297725,-72.38786
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.719643,-72.908785
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.225981,-72.36963
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",35.700459,-82.404524
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",36.170384,-82.100624
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",46.1,-77.5
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.201825,-91.154014
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.716861,-89.15412
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.582754,-72.929478
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",46.381488,-84.6488
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",47.770116,-94.084607
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.297921,-72.314547
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.766268,-71.737665
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.999333,-72.607833
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.309416,-72.863578
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.120333,-72.936167
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.345569,-72.821307
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.229277,-72.312526
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",35.763631,-82.262639
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.200838,-71.48323
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.521,-72.8115
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.520833,-72.811667
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.634582,-71.657209
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.837129,-72.525217
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.470165,-72.80294
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.814,-72.528333
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.578891,-72.035323
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.724362,-72.098551
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.118881,-80.999257
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.399798,-72.956022
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.68068,-72.782477
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.632667,-72.542333
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.865955,-68.729198
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.715511,-69.444284
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.758396,-69.53199
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.750769,-69.571313
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.448167,-72.937
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.426476,-72.583883
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.633105,-72.541187
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.660386,-72.830029
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.5265,-72.8165
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.636781,-69.358513
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.060176,-72.944852
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.399397,-72.770157
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.0928,-73.026887
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.549667,-72.799
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.538333,-72.804833
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.1715,-72.640504
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.858569,-73.008376
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.636977,-72.544156
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.636227,-72.543951
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.640333,-72.829333
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",41.796874,-76.665187
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.529462,-72.891669
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",44.008898,-71.496534
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",46.376307,-71.821747
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",41.639694,-79.10969
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.716961,-71.448944
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",45.922774,-92.634112
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.636674,-73.271805
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.424794,-73.191219
"Clintonia","Clintonia borealis","Clintonia borealis (Aiton) Raf.",43.4065,-72.745833
