"genus","species","scientificName","decimalLatitude","decimalLongitude"
"Datura","Datura wrightii","Datura wrightii Regel",38.10165,-98.45496
"Datura","Datura wrightii","Datura wrightii Regel",59.49681,17.83164
"Datura","Datura wrightii","Datura wrightii Regel",38.769478,-109.588455
"Datura","Datura wrightii","Datura wrightii Regel",50.893127,6.213026
"Datura","Datura wrightii","Datura wrightii Regel",32.832577,-117.048256
"Datura","Datura wrightii","Datura wrightii Regel",37.385128,-121.463449
"Datura","Datura wrightii","Datura wrightii Regel",36.088063,-114.985008
"Datura","Datura wrightii","Datura wrightii Regel",32.342627,-102.713512
"Datura","Datura wrightii","Datura wrightii Regel",32.09045,-116.882579
"Datura","Datura wrightii","Datura wrightii Regel",32.731736,-116.940665
"Datura","Datura wrightii","Datura wrightii Regel",38.197227,-109.898601
"Datura","Datura wrightii","Datura wrightii Regel",35.563233,-118.24688
"Datura","Datura wrightii","Datura wrightii Regel",37.770266,-111.602119
"Datura","Datura wrightii","Datura wrightii Regel",59.26475,18.0666
"Datura","Datura wrightii","Datura wrightii Regel",59.49855,17.8298
"Datura","Datura wrightii","Datura wrightii Regel",34.1895,-118.177167
"Datura","Datura wrightii","Datura wrightii Regel",32.554171,-117.087293
"Datura","Datura wrightii","Datura wrightii Regel",34.191992,-118.172242
"Datura","Datura wrightii","Datura wrightii Regel",34.586373,-120.144335
"Datura","Datura wrightii","Datura wrightii Regel",32.556056,-117.084764
"Datura","Datura wrightii","Datura wrightii Regel",33.280634,-116.367667
"Datura","Datura wrightii","Datura wrightii Regel",38.513183,-121.612723
"Datura","Datura wrightii","Datura wrightii Regel",32.840943,-116.855221
"Datura","Datura wrightii","Datura wrightii Regel",36.16136,-115.498231
"Datura","Datura wrightii","Datura wrightii Regel",34.418575,-119.798709
"Datura","Datura wrightii","Datura wrightii Regel",34.132594,-118.115919
"Datura","Datura wrightii","Datura wrightii Regel",32.859576,-116.887002
"Datura","Datura wrightii","Datura wrightii Regel",32.556743,-117.084989
"Datura","Datura wrightii","Datura wrightii Regel",32.842962,-117.00036
"Datura","Datura wrightii","Datura wrightii Regel",33.313216,-116.576032
"Datura","Datura wrightii","Datura wrightii Regel",33.128657,-116.425784
"Datura","Datura wrightii","Datura wrightii Regel",32.830426,-116.85747
"Datura","Datura wrightii","Datura wrightii Regel",34.195833,-118.1675
"Datura","Datura wrightii","Datura wrightii Regel",32.673049,-117.023706
"Datura","Datura wrightii","Datura wrightii Regel",32.753364,-116.451881
"Datura","Datura wrightii","Datura wrightii Regel",36.704167,-120.860278
"Datura","Datura wrightii","Datura wrightii Regel",32.830801,-116.857302
"Datura","Datura wrightii","Datura wrightii Regel",35.376453,-117.995223
"Datura","Datura wrightii","Datura wrightii Regel",32.551713,-117.063415
"Datura","Datura wrightii","Datura wrightii Regel",32.839611,-117.043179
"Datura","Datura wrightii","Datura wrightii Regel",34.73977,-120.058465
"Datura","Datura wrightii","Datura wrightii Regel",32.830059,-116.857721
"Datura","Datura wrightii","Datura wrightii Regel",34.201647,-118.167351
"Datura","Datura wrightii","Datura wrightii Regel",32.817012,-116.869196
"Datura","Datura wrightii","Datura wrightii Regel",34.418395,-119.793536
"Datura","Datura wrightii","Datura wrightii Regel",34.193385,-118.173032
"Datura","Datura wrightii","Datura wrightii Regel",32.554102,-117.085172
"Datura","Datura wrightii","Datura wrightii Regel",34.096953,-118.247418
"Datura","Datura wrightii","Datura wrightii Regel",38.417871,-109.456861
"Datura","Datura wrightii","Datura wrightii Regel",34.19076,-118.176164
"Datura","Datura wrightii","Datura wrightii Regel",34.141723,-118.167031
"Datura","Datura wrightii","Datura wrightii Regel",34.19081,-118.177441
"Datura","Datura wrightii","Datura wrightii Regel",34.192961,-118.171444
"Datura","Datura wrightii","Datura wrightii Regel",34.193299,-118.173418
"Datura","Datura wrightii","Datura wrightii Regel",38.562579,-121.40262
"Datura","Datura wrightii","Datura wrightii Regel",34.193088,-118.172865
"Datura","Datura wrightii","Datura wrightii Regel",34.140285,-118.167294
"Datura","Datura wrightii","Datura wrightii Regel",34.192551,-118.175337
"Datura","Datura wrightii","Datura wrightii Regel",34.192433,-118.175
"Datura","Datura wrightii","Datura wrightii Regel",34.252879,-118.770314
"Datura","Datura wrightii","Datura wrightii Regel",33.272206,-116.423793
