"","continent","contgeokm.layer","contgeokm.area","species"
"1","North America",1,350517.547805207,NA
"2","Asia",1,12331764.5585516,"Abelmoschus manihot"
"3","Asia",1,12331764.5585516,"Abelmoschus manihot"
"4","Africa",1,8964273.73811063,"Abelmoschus manihot"
"5","Oceania",1,2949909.73602853,"Abelmoschus manihot"
"6","North America",1,2235203.75350363,"Abelmoschus manihot"
"7","North America",1,2235203.75350363,"Abelmoschus manihot"
"8","South America",1,909952.857927592,"Abutilon terminale"
"9","Asia",1,27003449.698898,"Abutilon theophrasti"
"10","Europe",1,14458948.4221952,"Abutilon theophrasti"
"11","Europe",1,14458948.4221952,"Abutilon theophrasti"
"12","Oceania",1,6025884.82369705,"Abutilon theophrasti"
"13","North America",1,9947689.25302235,"Abutilon theophrasti"
"14","North America",1,9947689.25302235,"Abutilon theophrasti"
"15","North America",1,105613.651749303,"Acaena pinnatifida"
"16","South America",1,1300415.31477245,"Acaena pinnatifida"
"17","Europe",1,1012365.71430958,NA
"18","Europe",1,1012365.71430958,"Acanthus spinosus"
"19","Europe",1,2055895.3541182,"Acanthus spinosus"
"20","Europe",1,2055895.3541182,"Acanthus spinosus"
"21","North America",1,2031672.57516294,"Acanthus spinosus"
"22","North America",1,2031672.57516294,"Acanthus spinosus"
"23","Asia",1,265052.799330462,NA
"24","Europe",1,716345.757679954,NA
"25","Europe",1,716345.757679954,NA
"26","Europe",1,716345.757679954,NA
"27","Asia",1,780028.059383287,"Acer japonicum"
"28","Europe",1,1710574.88031028,"Acer japonicum"
"29","Europe",1,1710574.88031028,"Acer japonicum"
"30","North America",1,2981659.64144699,"Acer japonicum"
"31","North America",1,2981659.64144699,"Acer japonicum"
"32","Asia",1,26193644.201983,"Acer negundo"
"33","Europe",1,17625348.9315612,"Acer negundo"
"34","Africa",1,20047172.2287386,"Acer negundo"
"35","Oceania",1,1103616.86891194,"Acer negundo"
"36","North America",1,11152515.9470247,"Acer negundo"
"37","South America",1,3695180.78988258,"Acer negundo"
"38","Asia",1,7897349.68325852,"Acer saccharinum"
"39","Europe",1,3837779.79993999,"Acer saccharinum"
"40","Europe",1,3837779.79993999,"Acer saccharinum"
"41","North America",1,9314996.60256814,"Acer saccharinum"
"42","North America",1,9314996.60256814,"Acer saccharinum"
"43","Asia",1,185499.662614683,NA
"44","Asia",1,185499.662614683,NA
"45","Asia",1,185499.662614683,NA
"46","Asia",1,2339760.50012488,NA
"47","Europe",1,3616408.1009781,NA
"48","Europe",1,3616408.1009781,NA
"49","Asia",1,27618872.38696,"Achillea millefolium"
"50","Europe",1,10147600.4556739,"Achillea millefolium"
"51","Africa",1,10346880.4627863,"Achillea millefolium"
"52","Oceania",1,5425120.72794217,"Achillea millefolium"
"53","North America",1,16748909.8982284,"Achillea millefolium"
"54","South America",1,15620443.6245499,"Achillea millefolium"
"55","South America",1,15620443.6245499,"Achyra similalis"
"56","South America",1,15620443.6245499,"Achyra similalis"
"57","Asia",1,17567430.2057736,NA
"58","Asia",1,17567430.2057736,NA
"59","Africa",1,10795331.3540469,NA
"60","Oceania",1,395603.716364787,NA
"61","North America",1,457543.103835422,NA
"62","Oceania",1,63195.3433614252,NA
"63","Oceania",1,47407.1156488325,NA
"64","Oceania",1,92841.2153903451,NA
"65","North America",1,7471239.40814625,NA
"66","North America",1,7471239.40814625,NA
"67","North America",1,3459243.87524148,NA
"68","Asia",1,485556.09742112,NA
"69","Asia",1,485556.09742112,NA
"70","Asia",1,52536.7312713648,NA
"71","Asia",1,52536.7312713648,NA
"72","Europe",1,1421615.84744682,NA
"73","North America",1,7575552.28764452,NA
