Dataset:              'els-ii summer seasonal chem'
File Name:            susfim01
Date Created:         03/18/98
# Variables:          194
# Header Records:     204
# Data Records:       270
Missing Value Symbol: .

Variables:    ACCES1D          ACCESS FORM 1D
              ACCO11           CO2-ACIDITY (ueq/l) FORM 11
              ALD02            PCV ALUMINUM DISSOLVED (ug/l) FORM 2
              ALDI98           LABILE MONOMERIC AL (ug/l)
              ALEX11           ALUMINUM-EXTRACTABLE (ug/l) FORM 11
              ALKA11           ALKALINITY (ueq/l) FORM 11
              ALO_02           PCV ALUMINUM ORGANIC (ug/l) FORM 2
              ALTL11           TOTAL ALUMINUM (ug/l) FORM 11
              ANCAT98          CATIONS/ANIONS RATIO
              ANDEF98          CATSUM - ANSUM (ueq/l)
              ANSUM98          SUM OF ANIONS (ueq/l)
              BNSTR99          POPULATION SIZE BY STRATA
              C0051D           CONDUCTIVITY AT 0.5 M (us/cm) FORM 1D
              C0151D           CONDUCTIVITY AT 1.5 M (us/cm) FORM 1D
              C0251D           CONDUCTIVITY AT 2.5 M (us/cm) FORM 1D
              C0351D           CONDUCTIVITY AT 3.5 M (us/cm) FORM 1D
              C0451D           CONDUCTIVITY AT 4.5 M (us/cm) FORM 1D
              C0551D           CONDUCTIVITY AT 5.5 M (us/cm) FORM 1D
              C0651D           CONDUCTIVITY AT 6.5 M (us/cm) FORM 1D
              C0751D           CONDUCTIVITY AT 7.5 M (us/cm) FORM 1D
              C0851D           CONDUCTIVITY AT 8.5 M (us/cm) FORM 1D
              C0951D           CONDUCTIVITY AT 9.5 M (us/cm) FORM 1D
              C1051D           CONDUCTIVITY AT 10.5 M (us/cm) FORM 1D
              C1251D           CONDUCTIVITY AT 12.5 M (us/cm) FORM 1D
              C1451D           CONDUCTIVITY AT 14.5 M (us/cm) FORM 1D
              C1651D           CONDUCTIVITY AT 16.5 M (us/cm) FORM 1D
              C1851D           CONDUCTIVITY AT 18.5 M (us/cm) FORM 1D
              C2051D           CONDUCTIVITY AT 20.5 M (us/cm) FORM 1D
              C2251D           CONDUCTIVITY AT 22.5 M (us/cm) FORM 1D
              C2451D           CONDUCTIVITY AT 24.5 M (us/cm) FORM 1D
              C2651D           CONDUCTIVITY AT 26.5 M (us/cm) FORM 1D
              C2851D           CONDUCTIVITY AT 28.5 M (us/cm) FORM 1D
              C3051D           CONDUCTIVITY AT 30.5 M (us/cm) FORM 1D
